starting_time,end_time,total_time,algorithm
1529534529.1327178,1529534529.2701368,0.1374189853668213,partition_sort
1529534529.270143,1529534529.380103,0.10996007919311523,qs1
1529534529.3801098,1529534529.5754483,0.19533848762512207,qs2
1529534529.5754552,1529534529.8043704,0.22891521453857422,qs3
1529534529.8043776,1529534529.9737504,0.1693727970123291,qs4
1529534529.973755,1529534530.1302145,0.15645956993103027,qs5
1529534530.130219,1529534530.3276887,0.19746971130371094,merge1
1529534530.3276942,1529534530.4638808,0.1361865997314453,partition_sort
1529534530.4638867,1529534530.5740778,0.11019110679626465,qs1
1529534530.5740905,1529534530.7470655,0.1729750633239746,qs2
1529534530.7470698,1529534530.932436,0.18536615371704102,qs3
1529534530.9324405,1529534531.0885813,0.15614080429077148,qs4
1529534531.0885854,1529534531.2425098,0.15392446517944336,qs5
1529534531.2425148,1529534531.4372602,0.19474530220031738,merge1
1529534531.4372652,1529534531.5733058,0.13604068756103516,partition_sort
1529534531.5733125,1529534531.683383,0.11007046699523926,qs1
1529534531.683388,1529534531.8605623,0.17717432975769043,qs2
1529534531.8605676,1529534532.0406463,0.18007874488830566,qs3
1529534532.0406513,1529534532.198595,0.1579437255859375,qs4
1529534532.1985993,1529534532.3508828,0.1522834300994873,qs5
1529534532.350887,1529534532.5449803,0.1940932273864746,merge1
1529534532.544986,1529534532.6802452,0.13525915145874023,partition_sort
1529534532.6802511,1529534532.8303328,0.15008163452148438,qs1
1529534532.83034,1529534533.042654,0.21231412887573242,qs2
1529534533.0426588,1529534533.2437544,0.2010955810546875,qs3
1529534533.2437644,1529534533.4074996,0.16373515129089355,qs4
1529534533.4075038,1529534533.5614502,0.1539463996887207,qs5
1529534533.5614543,1529534533.7571979,0.19574356079101562,merge1
1529534533.7572043,1529534533.8977702,0.1405658721923828,partition_sort
1529534533.8977766,1529534534.0066853,0.10890865325927734,qs1
1529534534.00669,1529534534.182329,0.17563891410827637,qs2
1529534534.1823337,1529534534.3678033,0.1854696273803711,qs3
1529534534.3678074,1529534534.5239887,0.15618133544921875,qs4
1529534534.5239928,1529534534.6730843,0.14909148216247559,qs5
1529534534.6730878,1529534534.866894,0.19380617141723633,merge1
1529534534.8668995,1529534535.0033362,0.13643670082092285,partition_sort
1529534535.0033429,1529534535.1134617,0.11011886596679688,qs1
1529534535.1134663,1529534535.2920067,0.17854046821594238,qs2
1529534535.2920108,1529534535.470395,0.17838430404663086,qs3
1529534535.4704,1529534535.625469,0.15506887435913086,qs4
1529534535.625473,1529534535.7762997,0.15082669258117676,qs5
1529534535.7763035,1529534535.9712043,0.1949007511138916,merge1
1529534535.9712167,1529534536.1076398,0.13642311096191406,partition_sort
